"School Number","School Name","LA Code","Local Authority","Sector","Governance - see notes","WM Code","Welsh Medium Type - see notes","School Type","Religious Character","Address 1","Address 2","Address 3","Address 4","Postcode","Phone Number","Pupils - see notes","lon","lat"
6642077,"Golftyn Cp School",664,"Flintshire","Primary","Community","EM","English medium","Nursery, Infants & Juniors","---","York Road","Connah's Quay","Deeside","Flintshire","CH5 4XA","01244 830569",455,-3.0698348,53.2211975
6642078,"Saltney Ferry Cp",664,"Flintshire","Primary","Community","EM","English medium","Nursery, Infants & Juniors","---","Saltney Ferry Road","Saltney Ferry","Chester","Flintshire","CH4 0BN","01244 680302",112,-2.9477633,53.1779574
6642081,"Y Waun",664,"Flintshire","Primary","Community","EM","English medium","Nursery, Infants & Juniors","---","Y Waen","Gwernaffield","Mold","Flintshire","CH7 5DP","01352 740362",103,-3.1913579,53.1723636
6642082,"Ysgol Gwenffrwd",664,"Flintshire","Primary","Community","WM","Welsh medium","Nursery, Infants & Juniors","---","Stryd Chwitffordd","Treffynnon","Sir Y Fflint",NA,"CH8 7NJ","01352 713158",188,-3.2267409,53.2765598
6642084,"Abermorddu Cp School",664,"Flintshire","Primary","Community","EM","English medium","Nursery, Infants & Juniors","---","Cymau Road","Caergwrle","Nr. Wrexham","Flintshire","LL12 9DH","01978 760647",214,-3.0349554,53.1002092
6642085,"Southdown Cp",664,"Flintshire","Primary","Community","EM","English medium","Nursery, Infants & Juniors","---","Linderick Avenue","Buckley","Flintshire",NA,"CH7 2NP","01244 544473",414,-3.0895964,53.1691494
6642086,"Wepre Community School",664,"Flintshire","Primary","Community","EM","English medium","Nursery, Infants & Juniors","---","Llwyni Drive","Connah's Quay","Deeside","Flintshire","CH5 4NE","01244 830104",349,-3.070166,53.2056901
6642089,"Drury Primary School",664,"Flintshire","Primary","Community","EM","English medium","Nursery, Infants & Juniors","---","Beech Road","Drury","Buckley","Flintshire","CH7 3EG","01244 543005",164,-3.053216,53.1721064
6642091,"Cornist Park Cp",664,"Flintshire","Primary","Community","EM","English medium","Nursery, Infants & Juniors","---","Ffordd yr Ysgol","Flint",NA,NA,"CH6 5ET","01352 735657",330,-3.1530875,53.2458215
6642092,"Ysgol Derwenfa Cp",664,"Flintshire","Primary","Community","EM","English medium","Nursery, Infants & Juniors","---","Queen Street","Leeswood","Nr. Mold","Flintshire","CH7 4RQ","01352 770477",127,-3.089253,53.1294344
6642093,"Penarlag Cp",664,"Flintshire","Primary","Community","EM","English medium","Nursery, Infants & Juniors","---","Carlines Avenue","Carlines Park","Ewloe","Flintshire","CH5 3RQ","01244 533867",206,-3.0446846,53.1918579
6642094,"Owen Jones Cp",664,"Flintshire","Primary","Community","EM","English medium","Nursery, Infants & Juniors","---","Ffordd Owen","Northop","Mold","Flintshire","CH7 6AU","01352 840255",140,-3.1357987,53.2087004
6642237,"Gronant Primary School",664,"Flintshire","Primary","Community","EM","English medium","Nursery, Infants & Juniors","---","Nant Y Gro","Gronant","Nr. Prestatyn","Flintshire","LL19 9YP","01745 856119",59,-3.3557553,53.339137
6642257,"Ysgol Gymraeg Croes Atti",664,"Flintshire","Primary","Community","WM","Welsh medium","Nursery, Infants & Juniors","---","Chester Road","Sir Y Fflint",NA,NA,"CH6 5DU","01352 733335",241,-3.126215,53.2461911
6642266,"Ysgol Parc Y Llan",664,"Flintshire","Primary","Community","EM","English medium","Nursery, Infants & Juniors","---","Ffordd Y Llan","Treuddyn","Mold","Flintshire","CH7 4LN","01352 770304",114,-3.1171689,53.1157517
6642267,"Ysgol Mynydd Isa",664,"Flintshire","Primary","Community","EM","English medium","Nursery, Infants & Juniors","---","Chambers Lane","Bryn-Y-Baal","Mold","Flintshire","CH7 6SJ","01352 752714",577,-3.1106642,53.1729796
6642268,"Broughton Primary School",664,"Flintshire","Primary","Community","EM","English medium","Nursery, Infants & Juniors","---","Broughton Hall Road","Broughton","Flintshire",NA,"CH4 0QQ","01244 532007",550,-2.9860208,53.166231
6642269,"Ysgol Cae'r Nant",664,"Flintshire","Primary","Community","EM","English medium","Nursery, Infants & Juniors","---","Mold Road","Connah's Quay","Flintshire",NA,"CH5 4QL","01244 830708",392,-3.0538074,53.2145327
6642270,"Ysgol Penyffordd",664,"Flintshire","Primary","Community","EM","English medium","Nursery, Infants & Juniors","---","Penymynydd Road","Penyffordd","Flintshire",NA,"CH4 0LQ","01244 543858",278,-3.0415649,53.1525391
6642271,"Ysgol Ty Ffynnon",664,"Flintshire","Primary","Community","EM","English medium","Nursery, Infants & Juniors","---","Taliesin Avenue","Shotton","Flintshire",NA,"CH5 1HP","01244 830018",258,-3.0467348,53.2084804
6642272,"Ysgol Maes Y Felin",664,"Flintshire","Primary","Community","EM","English medium","Nursery, Infants & Juniors","---","Pen Y Maes Road","Holywell","Flintshire",NA,"CH8 7EN","01352 711366",319,-3.2066387,53.2892432
6643002,"Nannerch V.C.P. School",664,"Flintshire","Primary","Voluntary controlled","EM","English medium","Nursery, Infants & Juniors","Church in Wales","Nannerch Village","Nr Mold","Flintshire",NA,"CH7 5RD","01352 741377",57,-3.2493992,53.2189713
6643303,"Ysgol Yr Esgob C In W",664,"Flintshire","Primary","Voluntary aided","EM","English medium","Nursery, Infants & Juniors","Church in Wales","Lon-yr-ysgol","Caerwys","Mold","Flintshire","CH7 5AD","01352 720287",55,-3.3026569,53.2411031
6643306,"St Mary's",664,"Flintshire","Primary","Voluntary aided","EM","English medium","Infants & Juniors","Roman Catholic","Ffordd Llewelyn","Pen Goch","Flintshire",NA,"CH6 5JZ","01352 733231",290,-3.1289805,53.2413995
6643307,"St Winefrides",664,"Flintshire","Primary","Voluntary aided","EM","English medium","Nursery, Infants & Juniors","Roman Catholic","Whitford Street","Holywell","Flintshire",NA,"CH8 7NJ","01352 713182",165,-3.2267409,53.2765598
6643308,"St David's Catholic Primary School",664,"Flintshire","Primary","Voluntary aided","EM","English medium","Nursery, Infants & Juniors","Roman Catholic","St David's Lane","Mold","Flintshire",NA,"CH7 1LH","01352 752651",87,-3.135695,53.1697986
6643311,"St Anthony's Catholic Primary",664,"Flintshire","Primary","Voluntary aided","EM","English medium","Nursery, Infants & Juniors","Roman Catholic","High Street","Saltney","Flintshire",NA,"CH4 8SG","01244 680480",149,-2.926605,53.1783099
6643312,"Venerable Edward Morgan Rc",664,"Flintshire","Primary","Voluntary aided","EM","English medium","Nursery, Infants & Juniors","Roman Catholic","Caernarfon Close","Shotton","Flintshire",NA,"CH5 1AS","01244 830408",273,-3.0406358,53.2074568
6643316,"Trelawnyd",664,"Flintshire","Primary","Voluntary aided","EM","English medium","Nursery, Infants & Juniors","Church in Wales","London Road","Rhyl","Trelawnyd","Flintshire","LL18 6DL","01745 570171",100,-3.3686824,53.3068802
6643320,"Ysgol Y Llan Va Primary School Whitford",664,"Flintshire","Primary","Voluntary aided","EM","English medium","Nursery, Infants & Juniors","Church in Wales","Whitford","Holywell","Flintshire",NA,"CH8 9AN","01745 560431",107,-3.2898816,53.3008103
6643330,"St. Ethelwolds",664,"Flintshire","Primary","Voluntary aided","EM","English medium","Nursery, Infants & Juniors","Church in Wales","Melrose Avenue","Shotton","Deeside","Flintshire","CH5 1NG","01244 812932",109,-3.0389919,53.2037929
6643331,"St John The Baptist Va School",664,"Flintshire","Primary","Voluntary aided","EM","English medium","Nursery, Infants & Juniors","Church in Wales","Chester Road","Penymynydd","Flintshire",NA,"CH4 0EN","01244 550838",110,-3.0443623,53.1610528
6643332,"Nercwys Va",664,"Flintshire","Primary","Voluntary aided","EM","English medium","Nursery, Infants & Juniors","Church in Wales","Village Road","Nercwys","Mold","Flintshire","CH7 4EL","01352 752654",42,-3.1513945,53.1392522
6643333,"Hawarden Village Va",664,"Flintshire","Primary","Voluntary aided","EM","English medium","Nursery, Infants & Juniors","Church in Wales","Cross Tree Lane","Hawarden","Flintshire",NA,"CH5 3PY","01244 532091",468,-3.0219197,53.1855319
6644000,"Hawarden High School",664,"Flintshire","Secondary","Community","EM","English medium","Secondary (ages 11-19)","---","The Highway","Hawarden","Deeside","Flintshire","CH5 3DN","01244 526400",1124,-3.0438255,53.1896904
6644006,"Alun School",664,"Flintshire","Secondary","Community","EM","English medium","Secondary (ages 11-19)","---","Wrexham Road","Mold","Flintshire",NA,"CH7 1EP","01352 750755",1568,-3.1412845,53.1608967
6644011,"Elfed High School",664,"Flintshire","Secondary","Community","EM","English medium","Secondary (ages 11-16)","---","Mill Lane","Buckley","Flintshire",NA,"CH7 3HQ","01244 550217",736,-3.0830913,53.1718432
6644012,"Ysgol Treffynnon",664,"Flintshire","Secondary","Community","EM","English medium","Secondary (ages 11-16)","---","The Strand","Holywell","Flintshire",NA,"CH8 7EN","01352 710011",441,-3.2066387,53.2892432
6644013,"St. David's High School",664,"Flintshire","Secondary","Community","EM","English medium","Secondary (ages 11-16)","---","St David's Terrace","Saltney","Chester","Flintshire","CH4 0AE","01244 671583",370,-2.9395526,53.17816
6644017,"Castell Alun High School",664,"Flintshire","Secondary","Community","EM","English medium","Secondary (ages 11-19)","---","Fagl Lane","Hope","Flintshire",NA,"LL12 9PY","01978 760238",1351,-3.0357629,53.1186934
6644018,"Maes Garmon",664,"Flintshire","Secondary","Community","WM","Welsh medium","Secondary (ages 11-19)","---","Stryd Conwy","Yr Wyddgrug","Sir Y Fflint",NA,"CH7 1JB","01352 750678",502,-3.140354,53.1626889
6644021,"Flint High School",664,"Flintshire","Secondary","Community","EM","English medium","Secondary (ages 11-19)","---","Maes Hyfryd","Flintshire",NA,NA,"CH6 5LL","01352 732268",805,-3.1369276,53.2384945
6644022,"Connah's Quay High School,",664,"Flintshire","Secondary","Community","EM","English medium","Secondary (ages 11-16)","---","Golftyn Lane","Connah's Quay","Flintshire",NA,"CH5 4BH","01244 813491",1028,-3.0773655,53.2238678
6644042,"Argoed High School",664,"Flintshire","Secondary","Community","EM","English medium","Secondary (ages 11-16)","---","Bryn Road","Bryn Y Baal","Nr Mold","Flintshire","CH7 6RY","01352 756414",530,-3.1096195,53.1746906
6644600,"St. Richard Gwyn Catholic High School",664,"Flintshire","Secondary","Voluntary aided","EM","English medium","Secondary (ages 11-19)","Roman Catholic","Albert Avenue","Flint",NA,NA,"CH6 5JZ","01352 736900",707,-3.1289805,53.2413995
6645200,"Derwen Foundation School",664,"Flintshire","Primary","Foundation","EM","English medium","Nursery, Infants & Juniors","---","Higher Kinnerton","Flintshire",NA,NA,"CH4 9AJ","01244 660291",208,-3.0047668,53.1437097
6647020,"Pen Coch",664,"Flintshire","Special","Not Applicable","NA","Not applicable","Special (without post-16 provision)","---","Prince of Wales Avenue","Flint","Flintshire",NA,"CH6 5DL","01352 792730",96,-3.1328192,53.246018
6647021,"Ysgol Maes Hyfryd",664,"Flintshire","Special","Not Applicable","NA","Not applicable","Special (with post-16 provision)","---","Fifth Avenue","Flint","Flintshire",NA,"CH6 5QL","01352 792720",113,-3.133626,53.2385812
6651007,"Wrexham Early Years Centre",665,"Wrexham","Nursery","Not Applicable","NA","Not applicable","Nursery","---","Prince Charles Road","Wrexham",NA,NA,"LL13 8TH","01978 356177",34,-2.9716252,53.0457311
6652076,"The Rofft Cp School",665,"Wrexham","Primary","Community","EM","English medium","Nursery, Infants & Juniors","---","Wynnstay Lane","Marford","Wrexham",NA,"LL12 8LA","01978 853116",244,-2.9590325,53.089672
6652137,"Froncysyllte",665,"Wrexham","Primary","Community","EM","English medium","Nursery, Infants & Juniors","---","Woodlands Road","Froncysyllte","Llangollen","Wrexham","LL20 7SU","01691 773310",48,-3.0878231,52.9630674
6652138,"Garth Cp",665,"Wrexham","Primary","Community","EM","English medium","Nursery, Infants & Juniors","---","Trevor","Llangollen","Wrexham",NA,"LL20 7UY","01978 820582",81,-3.1083556,52.977981
6652139,"Ysgol Cynddelw",665,"Wrexham","Primary","Community","DS","Dual Stream","Nursery, Infants & Juniors","---","New Road","Glynceiriog","Llangollen",NA,"LL20 7HH","01691 718426",107,-3.184804,52.9329824
6652140,"Llanarmon Dc School",665,"Wrexham","Primary","Community","WM","Welsh medium","Nursery, Infants & Juniors","---","Llanarmon Dyffryn","Ceiriog","Nr Llangollen",NA,"LL20 7LF","01691 600278",23,-3.2579791,52.8805002
6652143,"Pontfadog",665,"Wrexham","Primary","Community","EM","English medium","Nursery, Infants & Juniors","---","Pontfadog","Llangollen","Wrexham",NA,"LL20 7AH","01691 718437",18,-3.1474235,52.9304525
6652149,"Ysgol Acrefair",665,"Wrexham","Primary","Community","EM","English medium","Nursery, Infants & Juniors","---","Tower View","Acrefair","Wrexham",NA,"LL14 3SH","01978 820616",225,-3.0783703,52.9801874
6652151,"Cefn Mawr C P School",665,"Wrexham","Primary","Community","EM","English medium","Nursery, Infants & Juniors","---","Plas Kynaston Lane","Cefn Mawr","Wrexham",NA,"LL14 3PY","01978 820719",194,-3.0736817,52.9703173
6652160,"Ysgol Maes-Y-Llan",665,"Wrexham","Primary","Community","EM","English medium","Nursery, Infants & Juniors","---","Maes y Llan Lane","Ruabon","Wrexham",NA,"LL14 6AE","01978 820991",205,-3.0365114,52.9878958
6652162,"Ysgol Min y Ddol",665,"Wrexham","Primary","Community","WM","Welsh medium","Nursery, Infants & Juniors","---","Lon Plas Kynmaston","Cefn Mawr","Wrexham",NA,"LL14 3PY","01978 820903",106,-3.0736817,52.9703173
6652173,"Alexandra C P School",665,"Wrexham","Primary","Community","EM","English medium","Nursery, Infants & Juniors","---","Park Avenue","Bodhyfryd","Wrexham",NA,"LL12 7AZ","01978 315120",348,-2.9875986,53.0502899
6652176,"Brynteg C P School",665,"Wrexham","Primary","Community","EM","English medium","Nursery, Infants & Juniors","---","Maesteg","Brynteg","Wrexham",NA,"LL11 6NB","01978 756398",189,-3.0380324,53.0648166
6652178,"Bwlchgwyn School",665,"Wrexham","Primary","Community","EM","English medium","Nursery, Infants & Juniors","---","Brymbo Road","Bwlchgwyn","Wrexham",NA,"LL11 5UA","01978 757743",110,-3.088663,53.0710811
6652179,"Ysgol Tan-y-Fron",665,"Wrexham","Primary","Community","EM","English medium","Nursery, Infants & Juniors","---","Tanyfron Road","Tanyfron","Wrexham",NA,"LL11 5SA","01978 758118",150,-3.0493903,53.0616685
6652187,"Black Lane C P School",665,"Wrexham","Primary","Community","EM","English medium","Nursery, Infants & Juniors","---","Long Lane","Pentre Broughton","Wrexham",NA,"LL11 6BT","01978 757959",161,-3.0431309,53.0719161
6652191,"Rhosddu County Primary",665,"Wrexham","Primary","Community","EM","English medium","Nursery, Infants & Juniors","---","Price's Lane","Rhosddu","Wrexham",NA,"LL11 2NB","01978 318830",294,-2.9955824,53.0558046
6652200,"Rhostyllen Cp School",665,"Wrexham","Primary","Community","EM","English medium","Nursery, Infants & Juniors","---","School Street","Rhostyllen","Wrexham",NA,"LL14 4AN","01978 352357",213,-3.0244402,53.0308735
6652204,"Ysgol Deiniol C P",665,"Wrexham","Primary","Community","EM","English medium","Nursery, Infants & Juniors","---","The Ridgeway","Marchwiel","Wrexham",NA,"LL13 0SB","01978 353760",195,-2.9501981,53.0208051
6652208,"Barker's Lane Cp",665,"Wrexham","Primary","Community","EM","English medium","Nursery, Infants & Juniors","---","Barker's Lane","Wrexham",NA,NA,"LL13 9UN","01978 357754",229,-2.977589,53.067687
6652209,"Wat's Dyke County Primary",665,"Wrexham","Primary","Community","EM","English medium","Nursery, Infants & Juniors","---","Garden Village","Wrexham",NA,NA,"LL11 2TE","01978 355731",334,-2.994749,53.0632222
6652224,"Ysgol Bryn Tabor",665,"Wrexham","Primary","Community","WM","Welsh medium","Nursery, Infants & Juniors","---","Heol Maelor","Coedpoeth","Wrecsam",NA,"LL11 3NB","01978 722180",275,-3.0674114,53.0519601
6652232,"Ysgol Sant Dunawd",665,"Wrexham","Primary","Community","EM","English medium","Nursery, Infants & Juniors","---","Sandown Road","Bangor-On-Dee","Wrexham",NA,"LL13 0JA","01978 780757",122,-2.9078347,53.0033679
6652235,"Holt C.P. School",665,"Wrexham","Primary","Community","EM","English medium","Nursery, Infants & Juniors","---","Chapel Street","Holt","Wrexham",NA,"LL13 9DJ","01829 270021",100,-2.883639,53.0787398
6652238,"Ysgol Bodhyfryd",665,"Wrexham","Primary","Community","WM","Welsh medium","Nursery, Infants & Juniors","---","Range Road","Wrexham",NA,NA,"LL13 7DA","01978 351168",419,-2.9858105,53.0357129
6652259,"Ysgol I.D. Hooson",665,"Wrexham","Primary","Community","WM","Welsh medium","Nursery, Infants & Juniors","---","Heol Caradoc","Pentredwr","Rhos","Wrexham","LL14 2DX","01978 832950",320,-3.0650839,53.0071522
6652263,"Ysgol Plas Coch",665,"Wrexham","Primary","Community","WM","Welsh medium","Nursery, Infants & Juniors","---","Ffordd Stansty","Plas Coch","Wrexham",NA,"LL11 2BU","01978 311198",345,-3.0054733,53.0580771
6652266,"Penygelli C P School",665,"Wrexham","Primary","Community","EM","English medium","Nursery, Infants & Juniors","---","Heol Glyndwr","Coedpoeth","Wrexham",NA,"LL11 3HA","01978 722160",317,-3.0621616,53.0527675
6652267,"Ysgol Penrhyn New Broughton Cp",665,"Wrexham","Primary","Community","EM","English medium","Nursery, Infants & Juniors","---","School Lane","New Broughton","Wrexham",NA,"LL11 6SF","01978 756926",215,-3.034202,53.0580215
6652268,"Ysgol Heulfan",665,"Wrexham","Primary","Community","EM","English medium","Nursery, Infants & Juniors","---","Sunny View","Gwersylit","Wrexham",NA,"LL11 4HS","01978 722040",368,-3.0237279,53.0729144
6652269,"Hafod Y Wern Community Primary School",665,"Wrexham","Primary","Community","EM","English medium","Nursery, Infants & Juniors","---","Deva Way","Caia Park","Wrexham",NA,"LL13 9HD","01978 367080",326,-2.9730719,53.0467874
6652270,"Gwenfro Community Primary",665,"Wrexham","Primary","Community","EM","English medium","Nursery, Infants & Juniors","---","Queensway","Wrexham",NA,NA,"LL13 8UW","01978 340380",368,-2.969822,53.0394736
6652271,"Park Community Primary School Llay",665,"Wrexham","Primary","Community","EM","English medium","Nursery, Infants & Juniors","---","School Road","Llay","Wrexham",NA,"LL12 0TR","01978 859100",339,-3.0000335,53.0969146
6652272,"Rhosymedre Community Primary",665,"Wrexham","Primary","Community","EM","English medium","Nursery, Infants & Juniors","---","Parc Road","Rhosymedre","Wrexham",NA,"LL14 3EG","01978 812510",243,-3.0569,52.9778018
6652273,"Ysgol Maes y Mynydd",665,"Wrexham","Primary","Community","EM","English medium","Nursery, Infants & Juniors","---","Pentredwr","Rhosllanerchrugog","Wrexham",NA,"LL14 1DD","01978 832970",354,-3.0587658,53.0148746
6652274,"Gwersyllt Community Primary School",665,"Wrexham","Primary","Community","EM","English medium","Nursery, Infants & Juniors","---","Dodds Lane","Gwersyllt","Wrexham",NA,"LL11 4NT","01978 269520",280,-3.0157621,53.0714348
6652275,"Penycae Community Primary School",665,"Wrexham","Primary","Community","EM","English medium","Nursery, Infants & Juniors","---","Afoneitha Road","Penycae","Wrexham",NA,"LL14 2PF","01978 840509",226,-3.0621814,52.9994996
6652276,"Acton Primary",665,"Wrexham","Primary","Community","EM","English medium","Nursery, Infants & Juniors","---","Box Lane","Wrexham",NA,NA,"LL12 8BT","01978 318950",468,-2.9856003,53.0621069
6652277,"Victoria Community Primary",665,"Wrexham","Primary","Community","EM","English medium","Nursery, Infants & Juniors","---","Poyster Street","Wrexham",NA,NA,"LL13 7RP","01978 360060",465,-3.0010016,53.0415494
6652278,"Ysgol y Waun",665,"Wrexham","Primary","Community","EM","English medium","Nursery, Infants & Juniors","---","Lloyds Lane","Chirk","Wrexham",NA,"LL14 5NH","01691 770530",354,-3.0527007,52.9381225
6652279,"Ysgol Bro Alun",665,"Wrexham","Primary","Community","WM","Welsh medium","Nursery, Infants & Juniors","---","Delamere Avenue","Gwersyllt","Wrexham",NA,"LL11 4NG","01978 269580",180,-3.0176509,53.0792898
6652280,"Ysgol Yr Hafod",665,"Wrexham","Primary","Community","EM","English medium","Nursery, Infants & Juniors","---","BANGOR ROAD","JOHNSTOWN","Wrexham",NA,"LL14 2SW","01978 840643",336,-3.0420009,53.0079119
6652281,"Borras Park Community Primary School",665,"Wrexham","Primary","Community","EM","English medium","Nursery, Infants & Juniors","---","BORRAS PARK ROAD","Borras Park","Wrexham",NA,"LL12 7TH","01978 346890",479,-2.9709907,53.0597822
6653028,"St Peter's School",665,"Wrexham","Primary","Voluntary controlled","EM","English medium","Nursery, Infants & Juniors","Church in Wales","Chapel Lane","Rossett","Wrexham",NA,"LL12 0EE","01244 570594",227,-2.9413874,53.1107966
6653036,"Pentre Ciw Voluntary Controlled",665,"Wrexham","Primary","Voluntary controlled","EM","English medium","Nursery, Infants & Juniors","Church in Wales","Pentre","Chirk","Wrexham",NA,"LL14 5AW","01691 773322",84,-3.0613129,52.9603943
6653042,"Eyton Primary School",665,"Wrexham","Primary","Voluntary controlled","EM","English medium","Nursery, Infants & Juniors","Church in Wales","Bangor Road","Eyton","Wrexham",NA,"LL13 0YD","01978 823392",63,-2.9847064,52.9991148
6653054,"Borderbrook School",665,"Wrexham","Primary","Voluntary controlled","EM","English medium","Nursery, Infants & Juniors","Church in Wales","Talwrn Green","Malpas","Willington","Wrexham","SY14 7LJ","01948 770676",30,-2.8293902,52.9914852
6653055,"St Giles Controlled Primary School",665,"Wrexham","Primary","Voluntary controlled","EM","English medium","Nursery, Infants & Juniors","Church in Wales","Madeira Hill","Wrexham",NA,NA,"LL13 7DG","01978 318880",424,-2.9944196,53.0423032
6653301,"Bronington Church In Wales V.A",665,"Wrexham","Primary","Voluntary aided","EM","English medium","Nursery, Infants & Juniors","Church in Wales","School Lane","Bronington","Whitchurch","Wrexham","SY13 3HN","01948 780283",102,-2.7659726,52.9489902
6653305,"Madras Va School",665,"Wrexham","Primary","Voluntary aided","EM","English medium","Nursery, Infants & Juniors","Church in Wales","Penley","Wrexham",NA,NA,"LL13 0LU","01978 710419",138,-2.8820183,52.9559725
6653326,"St Chad's Church In Wales Aided School",665,"Wrexham","Primary","Voluntary aided","EM","English medium","Nursery, Infants & Juniors","Church in Wales","Hanmer","Whitchurch","Wrexham",NA,"SY13 3DG","01948 830238",82,-2.8166609,52.954851
6653334,"St Mary's Rc Primary",665,"Wrexham","Primary","Voluntary aided","EM","English medium","Nursery, Infants & Juniors","Roman Catholic","Lea Road","Wrexham",NA,NA,"LL13 7NA","01978 352406",397,-2.9967584,53.0440091
6653337,"Minera",665,"Wrexham","Primary","Voluntary aided","EM","English medium","Nursery, Infants & Juniors","Church in Wales","Minera Hall Road","Minera","Wrexham",NA,"LL11 3YE","01978 269500",107,-3.0838784,53.0577549
6653338,"All Saints Voluntary Aided Sch",665,"Wrexham","Primary","Voluntary aided","EM","English medium","Nursery, Infants & Juniors","Church in Wales","School Hill","Gresford","Wrexham",NA,"LL12 8RW","01978 852342",293,-2.9781725,53.0863365
6653341,"St Mary's Church In Wales",665,"Wrexham","Primary","Voluntary aided","EM","English medium","Nursery, Infants & Juniors","Church in Wales","Park Street","Ruabon","Wrexham",NA,"LL14 6LE","01978 820979",219,-3.0378117,52.986687
6653342,"Brymbo Aided (St. Mary's)",665,"Wrexham","Primary","Voluntary aided","EM","English medium","Nursery, Infants & Juniors","Church in Wales","Ael y Bryn","Brymbo","Wrexham",NA,"LL11 5DA","01978 722970",154,-3.054753,53.0785129
6653343,"St Anne's Catholic Primary",665,"Wrexham","Primary","Voluntary aided","EM","English medium","Nursery, Infants & Juniors","Roman Catholic","Prince Charles Road","Wrexham",NA,NA,"LL13 8TH","01978 261623",196,-2.9716252,53.0457311
6653346,"St Mary's Overton",665,"Wrexham","Primary","Voluntary aided","EM","English medium","Nursery, Infants & Juniors","Church in Wales","School Lane","Overton On Dee","Wrexham",NA,"LL13 0ES","01978 710370",186,-2.9332523,52.9713411
6653347,"St Paul's Voluntary Aided",665,"Wrexham","Primary","Voluntary aided","EM","English medium","Nursery, Infants & Juniors","Church in Wales","Bowling Bank","Isycoed","Wrexham",NA,"LL13 9RL","01978 661556",49,-2.8940006,53.0389865
6654029,"Grango",665,"Wrexham","Secondary","Community","EM","English medium","Secondary (ages 11-16)","---","Vinegar Hill","Rhos","Wrexham",NA,"LL14 1EL","01978 833010",536,-3.0557169,53.0151209
6654032,"Ysgol Morgan Llwyd",665,"Wrexham","Secondary","Community","WM","Welsh medium","Secondary (ages 11-19)","---","Ffordd Cefn","Wrecsam",NA,NA,"LL13 9NG","01978 315050",759,-2.9691949,53.0507499
6654033,"Ysgol Bryn Alyn",665,"Wrexham","Secondary","Community","EM","English medium","Secondary (ages 11-16)","---","Church Street","Gwersyllt","Wrexham",NA,"LL11 4HB","01978 720700",693,-3.0250674,53.0738893
6654034,"Darland High School",665,"Wrexham","Secondary","Community","EM","English medium","Secondary (ages 11-16)","---","Chester Road","Rossett","Wrexham",NA,"LL12 0DL","01244 570588",847,-2.9401081,53.1141926
6654044,"Ysgol Rhiwabon",665,"Wrexham","Secondary","Community","EM","English medium","Secondary (ages 11-19)","---","Ruabon","Wrexham",NA,NA,"LL14 6BT","01978 822392",451,-3.0503643,52.9890533
6654048,"Rhosnesni High School",665,"Wrexham","Secondary","Community","EM","English medium","Secondary (ages 11-16)","---","Rhosnesni Lane","Wrexham",NA,NA,"LL13 9ET","01978 340840",646,-2.9739419,53.0548338
6654049,"Ysgol Clywedog",665,"Wrexham","Secondary","Community","EM","English medium","Secondary (ages 11-16)","---","Ruthin Road","Wrexham",NA,NA,"LL13 7UB","01978 346800",695,-3.0120429,53.0431195
6654603,"St Joseph's Catholic And Anglican High",665,"Wrexham","Secondary","Voluntary aided","EM","English medium","Secondary (ages 11-16)","Roman Catholic & Anglican","Sontley Road","Wrexham",NA,NA,"LL13 7EN","01978 360310",701,-2.994137,53.0349998
6655401,"The Maelor School",665,"Wrexham","Secondary","Foundation","EM","English medium","Secondary (ages 11-19)","---","Penley","Wrexham",NA,NA,"LL13 0LU","01948 830291",785,-2.8820183,52.9559725
6657005,"St Christophers School",665,"Wrexham","Special","Not Applicable","NA","Not applicable","Special (with post-16 provision)","---","Stockwell Grove","Wrexham",NA,NA,"LL13 7BW","01978 346910",295,-2.9889677,53.036474
6662002,"Abermule Primary School",666,"Powys","Primary","Community","EM","English medium","Nursery, Infants & Juniors","---","Abermule","Montgomery","Powys",NA,"SY15 6ND","01686 630240",59,-3.237205,52.54399
6662003,"Arddleen C.P. School",666,"Powys","Primary","Community","EM","English medium","Nursery, Infants & Juniors","---","Arddleen","Llanymynech","Powys",NA,"SY22 6RT","01938 590445",86,-3.1015009,52.7323928
6662004,"Ysgol Gynradd Gymunedol Dyffryn Banw",666,"Powys","Primary","Community","WM","Welsh medium","Infants & Juniors","---","Llangadfan","Welshpool","Powys",NA,"SY21 0NW","01938 820226",26,-3.4700241,52.6929121
6662005,"Berriew C.P. School",666,"Powys","Primary","Community","EM","English medium","Nursery, Infants & Juniors","---","Berriew","Welshpool","Powys",NA,"SY21 8BA","01686 640312",74,-3.2066658,52.6026844
6662008,"Caersws C.P. School",666,"Powys","Primary","Community","EM","English medium","Nursery, Infants & Juniors","---","Maesawelon","Caersws","Powys",NA,"SY17 5HG","01686 688458",55,-3.4253868,52.5214258
6662009,"Ysgol Gynradd Carno",666,"Powys","Primary","Community","WM","Welsh medium","Nursery, Infants & Juniors","---","Carno","Y Drenewydd","Powys",NA,"SY17 5LH","01686 420209",35,-3.5346079,52.5586206
6662010,"Carreghofa C.P. School",666,"Powys","Primary","Community","EM","English medium","Nursery, Infants & Juniors","---","Llanymynech","Powys",NA,NA,"SY22 6PA","01691 830396",101,-3.0965331,52.7768861
6662018,"Leighton C.P. School",666,"Powys","Primary","Community","EM","English medium","Nursery, Infants & Juniors","---","Leighton","Welshpool","Powys",NA,"SY21 8HH","01938 553261",63,-3.131427,52.6468064
